iter	Passed	Remaining
469	743	838
470	745	837
471	747	835
472	748	834
473	750	832
474	751	831
475	753	829
476	754	827
477	756	826
478	758	824
479	759	823
480	761	821
481	762	819
482	764	818
483	766	816
484	767	814
485	769	813
486	770	811
487	772	810
488	773	808
489	775	806
490	776	805
491	778	803
492	779	802
493	781	800
494	782	798
495	784	797
496	785	795
497	787	793
498	788	792
499	790	790
500	791	788
501	793	787
502	794	785
503	796	783
504	797	781
505	799	780
506	800	778
507	802	776
508	803	775
509	805	774
510	807	772
511	808	770
512	810	769
513	812	768
514	813	766
515	815	764
516	816	763
517	818	761
518	820	760
519	822	758
520	823	757
521	825	755
522	827	754
523	828	752
524	830	751
525	831	749
526	833	748
527	835	746
528	837	745
529	838	743
530	840	742
531	842	741
532	843	739
533	845	737
534	847	736
535	848	734
536	850	733
537	852	732
538	853	730
539	855	728
540	857	727
541	858	725
542	860	724
543	862	722
544	864	721
545	865	719
546	867	718
547	869	716
548	870	715
549	872	713
550	874	712
551	875	710
552	877	708
553	878	707
554	880	705
555	881	704
556	883	702
557	885	701
558	886	699
559	887	697
560	889	695
561	891	694
562	892	692
563	894	691
564	895	689
565	897	687
566	898	686
567	900	684
568	901	682
569	902	681
570	904	679
571	905	677
572	907	676
573	908	674
574	910	672
575	911	671
576	913	669
577	914	667
578	916	666
579	917	664
580	919	662
581	920	661
582	922	659
583	923	657
584	925	656
585	927	655
586	928	653
587	930	651
588	932	650
589	933	648
590	934	646
591	936	645
592	937	643
593	939	642
594	940	640
595	942	638
596	943	637
597	945	635
598	946	633
599	948	632
600	950	630
601	951	629
602	953	627
603	954	625
604	956	624
605	958	622
606	959	621
607	961	619
608	963	618
609	965	616
610	966	615
611	968	613
612	969	612
613	971	610
614	973	609
615	974	607
616	975	605
617	977	604
618	978	602
619	980	600
620	981	599
621	983	597
622	984	596
623	986	594
624	987	592
625	989	591
626	991	589
627	992	587
628	993	586
629	995	584
630	996	582
631	998	581
632	1000	579
633	1001	578
634	1003	576
635	1004	574
636	1005	573
637	1007	571
638	1009	570
639	1010	568
640	1011	566
641	1013	565
642	1015	563
643	1017	562
644	1018	560
645	1020	559
646	1022	557
647	1023	556
648	1025	554
649	1027	553
650	1028	551
651	1030	550
652	1032	548
653	1033	547
654	1035	545
655	1037	544
656	1038	542
657	1040	540
658	1041	539
659	1043	537
660	1045	536
661	1046	534
662	1048	533
663	1050	531
664	1052	530
665	1053	528
666	1055	526
667	1057	525
668	1058	523
669	1060	522
