iter	Logloss
0	0.688181428
1	0.6832217637
2	0.6775888751
3	0.673029877
4	0.6684269731
5	0.6643326298
6	0.6599400018
7	0.6550539735
8	0.6503735614
9	0.6465364846
10	0.6425198463
11	0.6389156875
12	0.6348067089
13	0.6304414483
14	0.6264080745
15	0.6226364956
16	0.6192315871
17	0.6150448379
18	0.6115630775
19	0.6079919302
20	0.6050849504
21	0.6017105595
22	0.5986438382
23	0.5952430643
24	0.5918382214
25	0.5890758884
26	0.5864836662
27	0.5839515604
28	0.5815231487
29	0.5788271012
30	0.5764714067
31	0.5737775905
32	0.5713169549
33	0.5687935122
34	0.5665043657
35	0.5640880954
36	0.5612918977
37	0.5587185111
38	0.5563036847
39	0.5538622784
40	0.5514631374
41	0.5491041942
42	0.5473544213
43	0.5453970304
44	0.5429854198
45	0.5408260222
46	0.5386810959
47	0.5365912981
48	0.5346333493
49	0.5341135333
50	0.5323047925
51	0.5305417625
52	0.5287268854
53	0.5266866704
54	0.5246979416
55	0.5227666711
56	0.5211628904
57	0.5195852628
58	0.5177244453
59	0.5161238476
60	0.5150431643
61	0.5131226899
62	0.5119077621
63	0.510602266
64	0.5091978012
65	0.5076750725
66	0.5063567787
67	0.5049667522
68	0.503490489
69	0.5016735446
70	0.499840882
71	0.4985742713
72	0.4970150527
73	0.4955992996
74	0.4942418909
75	0.4929506692
76	0.4918357931
77	0.4903353127
78	0.4890769712
79	0.4878192204
80	0.4865447014
81	0.4851969073
82	0.4840028168
83	0.4827417189
84	0.4813535629
85	0.4801807691
86	0.4787551716
87	0.4776361281
88	0.4762629027
89	0.4755503993
90	0.4741415044
91	0.4731160154
92	0.4720176123
93	0.4708894791
94	0.4698644494
95	0.468730705
96	0.467747514
97	0.4665769187
98	0.4654012372
99	0.4644315002
100	0.4633310954
101	0.4625152588
102	0.4613648117
103	0.4602104597
104	0.4593624648
105	0.4582701652
106	0.4571756342
107	0.4564082976
108	0.455471408
109	0.4543024535
110	0.4536233881
111	0.4527501916
112	0.4515106529
113	0.450809044
114	0.4498547626
115	0.4489815333
116	0.4481442687
117	0.4473084152
118	0.4460964408
119	0.445285067
120	0.4442995789
121	0.4436216293
122	0.4427934872
123	0.4420098418
124	0.4412012244
125	0.4402276152
126	0.4394373084
127	0.4388703705
128	0.4379716442
129	0.4372374176
130	0.4366659185
131	0.4357218096
132	0.4349739977
133	0.4340533185
134	0.4331883584
135	0.432333374
136	0.4312554144
137	0.4306693457
138	0.4300738591
139	0.429366967
140	0.4284620059
141	0.4274814729
142	0.4269522062
143	0.4261160574
144	0.4254502819
145	0.4245825327
146	0.4240000079
147	0.4232268303
148	0.4222740255
149	0.4216458885
150	0.4211858278
151	0.4207037157
152	0.4196638866
153	0.4189523676
154	0.4182054089
155	0.4171570481
156	0.4164180633
157	0.4154470792
158	0.4148948423
159	0.4142510199
160	0.4135870493
161	0.4128089166
162	0.4120236633
163	0.4111990324
164	0.4106520786
165	0.4100239087
166	0.4091675133
167	0.4084931076
168	0.4077031289
169	0.4071763233
170	0.4065147482
171	0.4056367608
172	0.4051751906
173	0.404549449
174	0.4038114158
175	0.4029745779
176	0.4020538002
177	0.4014634327
178	0.4008025139
179	0.3999637071
180	0.3992971769
181	0.3987962948
182	0.3983252741
183	0.3978417837
184	0.3973943895
185	0.3967395413
186	0.3962698331
187	0.3959502189
188	0.3956477996
189	0.3949247955
190	0.394285928
191	0.393906985
192	0.3932206677
193	0.3927958827
194	0.3919090025
195	0.3913855112
196	0.3906603741
197	0.3897997128
198	0.3889901766
199	0.388358594
200	0.3878681798
201	0.3874380788
202	0.3864009406
203	0.3856450563
204	0.3848104169
205	0.3839658348
206	0.3832345942
207	0.3825630434
208	0.3820464103
209	0.3814738612
210	0.3808697444
211	0.3803248252
212	0.3797448271
213	0.3788515481
214	0.3781869212
215	0.3776629704
216	0.3771316364
217	0.3768021778
218	0.3763551117
219	0.3757114205
220	0.3752285209
221	0.3745864048
222	0.3740098194
223	0.3733416814
224	0.372715185
225	0.3723536994
226	0.371715357
227	0.3712585121
228	0.3708007156
229	0.3702099544
230	0.3696355348
231	0.3693548059
232	0.3686961184
233	0.3680786789
234	0.36750928
235	0.3667237641
236	0.3662873627
237	0.3660491615
238	0.365192963
239	0.3647663075
240	0.3640907862
241	0.3639298306
242	0.3633688978
243	0.3628672282
244	0.3624785721
245	0.361656796
246	0.3610850344
247	0.3606235955
248	0.3601592033
249	0.3595747753
250	0.3588290963
251	0.3580994637
252	0.3575839135
253	0.3570616035
254	0.3565101541
255	0.3560218073
256	0.3556513632
257	0.3549285561
258	0.354484312
259	0.3540403961
260	0.3535323604
261	0.3531946982
262	0.3523848667
263	0.3516666864
264	0.3512967346
265	0.3509082425
266	0.3505890221
267	0.3498836722
268	0.3495754775
269	0.3492359449
270	0.348872195
271	0.3481087633
272	0.3478271484
273	0.3474462037
274	0.3472720895
275	0.34692793
276	0.3465184366
277	0.3461139966
278	0.3458352366
279	0.3453814107
280	0.3449885543
281	0.344325765
282	0.3440855949
283	0.3435078283
284	0.3431464082
285	0.3428415606
286	0.3424548077
287	0.3417528378
288	0.3413545014
289	0.3408790834
290	0.340371376
291	0.3398401404
292	0.3389407906
293	0.3383544266
294	0.337937353
295	0.3375954249
296	0.3370992025
297	0.336691842
298	0.3362310922
299	0.3358548728
300	0.3353163524
301	0.3351640599
302	0.3347536477
303	0.3343906197
304	0.3340788154
305	0.3335056756
306	0.3331291609
307	0.3326103621
308	0.3321933541
309	0.3317048104
310	0.3313088694
311	0.330744852
312	0.3302896479
313	0.329971937
314	0.3294742379
315	0.3290184431
316	0.3286573841
317	0.3283373105
318	0.3279571861
319	0.3275911721
320	0.3271762643
321	0.3265859296
322	0.3261390276
323	0.3257846299
324	0.3253352996
325	0.3251113728
326	0.3246060935
327	0.3241059006
328	0.3237250872
329	0.3234881001
330	0.3231420373
331	0.3227452432
332	0.3224982477
333	0.3220130182
334	0.3216338783
335	0.3214729227
336	0.3212206112
337	0.3209051645
338	0.3204751948
339	0.319847189
340	0.3189451812
341	0.3185394615
342	0.3182047526
343	0.3176569457
344	0.3173652239
345	0.3168035364
346	0.3165463683
347	0.3159281085
348	0.3155365975
349	0.314894547
350	0.3143862488
351	0.3139627108
352	0.3135748422
353	0.3131892379
354	0.3129056213
355	0.3122712822
356	0.3119163267
357	0.3115414199
358	0.3112254809
359	0.3109106248
360	0.310589173
361	0.3102310673
362	0.3097968645
363	0.3094846992
364	0.3092270718
365	0.3087288805
366	0.3082777782
367	0.3077890376
368	0.3075154622
369	0.3071924025
370	0.3068668489
371	0.3065539945
372	0.3062999438
373	0.3056815855
374	0.3053235454
375	0.3047257618
376	0.3044157295
377	0.30428644
378	0.3040623491
379	0.3034984301
380	0.3030917916
381	0.3028139176
382	0.3025491038
383	0.3022531817
384	0.3018394552
385	0.301566569
386	0.3012997207
387	0.3009344942
388	0.3004359748
389	0.2999575379
390	0.2994991836
391	0.2990261283
392	0.2987573439
393	0.2983454222
394	0.2980067099
395	0.2977430118
396	0.2974485008
